cty,Name,Fraction_Married_rP_gP_pall
cty20201,"Washington County, KS",0.6619
cty19017,"Bremer County, IA",0.6615
cty19151,"Pocahontas County, IA",0.66
cty30015,"Chouteau County, MT",0.6585
cty31073,"Gosper County, NE",0.6585
cty20089,"Jewell County, KS",0.6585
cty20193,"Thomas County, KS",0.6579
cty30039,"Granite County, MT",0.6577
cty27101,"Murray County, MN",0.6573
cty27125,"Red Lake County, MN",0.6573
cty27011,"Big Stone County, MN",0.657
cty20033,"Comanche County, KS",0.6569
cty31169,"Thayer County, NE",0.6569
cty46059,"Hand County, SD",0.6569
cty38009,"Bottineau County, ND",0.6563
cty20023,"Cheyenne County, KS",0.6563
cty38065,"Oliver County, ND",0.6557
cty46111,"Sanborn County, SD",0.6557
cty17013,"Calhoun County, IL",0.6556
cty20039,"Decatur County, KS",0.6556
cty19159,"Ringgold County, IA",0.6553
cty31087,"Hitchcock County, NE",0.6542
cty19091,"Humboldt County, IA",0.6538
cty38097,"Traill County, ND",0.6537
cty46053,"Gregory County, SD",0.6535
cty48421,"Sherman County, TX",0.6532
cty29041,"Chariton County, MO",0.6532
cty19081,"Hancock County, IA",0.6529
cty46015,"Brule County, SD",0.6529
cty38039,"Griggs County, ND",0.6526
cty20197,"Wabaunsee County, KS",0.6521
cty31093,"Howard County, NE",0.6518
cty27073,"Lac qui Parle County, MN",0.6518
cty19025,"Calhoun County, IA",0.6517
cty19095,"Iowa County, IA",0.6511
cty27121,"Pope County, MN",0.6511
cty31029,"Chase County, NE",0.651
cty48045,"Briscoe County, TX",0.6506
cty20053,"Ellsworth County, KS",0.6501
cty27167,"Wilkin County, MN",0.6501
cty19105,"Jones County, IA",0.65
cty38057,"Mercer County, ND",0.6499
cty27051,"Grant County, MN",0.6499
cty19149,"Plymouth County, IA",0.6498
cty31081,"Hamilton County, NE",0.6497
cty08053,"Hinsdale County, CO",0.6497
cty38041,"Hettinger County, ND",0.6496
cty19043,"Clayton County, IA",0.6496
cty38069,"Pierce County, ND",0.6496
cty31117,"McPherson County, NE",0.6494
cty46079,"Lake County, SD",0.6484
cty46045,"Edmunds County, SD",0.6483
cty16023,"Butte County, ID",0.6481
cty38075,"Renville County, ND",0.6479
cty30099,"Teton County, MT",0.6467
cty19185,"Wayne County, IA",0.6467
cty40093,"Major County, OK",0.6466
