cty,Name,Fraction_Married_rP_gP_pall
cty29061,"Daviess County, MO",0.5784
cty05087,"Madison County, AR",0.5783
cty16073,"Owyhee County, ID",0.5783
cty53075,"Whitman County, WA",0.5783
cty27047,"Freeborn County, MN",0.5783
cty55103,"Richland County, WI",0.5783
cty47133,"Overton County, TN",0.5782
cty42065,"Jefferson County, PA",0.5781
cty18045,"Fountain County, IN",0.5779
cty08027,"Custer County, CO",0.5774
cty29115,"Linn County, MO",0.5773
cty27119,"Polk County, MN",0.5772
cty31037,"Colfax County, NE",0.5772
cty16059,"Lemhi County, ID",0.5769
cty55121,"Trempealeau County, WI",0.5769
cty35011,"De Baca County, NM",0.5767
cty20185,"Stafford County, KS",0.5765
cty16021,"Boundary County, ID",0.5765
cty13281,"Towns County, GA",0.5764
cty01117,"Shelby County, AL",0.5764
cty29081,"Harrison County, MO",0.5764
cty18049,"Fulton County, IN",0.5764
cty55083,"Oconto County, WI",0.5763
cty42117,"Tioga County, PA",0.5762
cty54071,"Pendleton County, WV",0.5762
cty55107,"Rusk County, WI",0.576
cty42019,"Butler County, PA",0.576
cty31123,"Morrill County, NE",0.5759
cty54063,"Monroe County, WV",0.5759
cty16047,"Gooding County, ID",0.5758
cty39149,"Shelby County, OH",0.5758
cty18085,"Kosciusko County, IN",0.5757
cty26005,"Allegan County, MI",0.5756
cty46093,"Meade County, SD",0.5753
cty17139,"Moultrie County, IL",0.5753
cty20015,"Butler County, KS",0.5751
cty26067,"Ionia County, MI",0.5751
cty39039,"Defiance County, OH",0.5751
cty21183,"Ohio County, KY",0.5751
cty46135,"Yankton County, SD",0.575
cty29089,"Howard County, MO",0.575
cty39041,"Delaware County, OH",0.5749
cty19175,"Union County, IA",0.5748
cty55071,"Manitowoc County, WI",0.5747
cty36049,"Lewis County, NY",0.5746
cty18021,"Clay County, IN",0.5745
cty17181,"Union County, IL",0.5745
cty17087,"Johnson County, IL",0.5744
cty27141,"Sherburne County, MN",0.5744
cty41069,"Wheeler County, OR",0.5744
cty16061,"Lewis County, ID",0.5743
cty17105,"Livingston County, IL",0.5742
cty55069,"Lincoln County, WI",0.5742
cty05141,"Van Buren County, AR",0.5741
cty29035,"Carter County, MO",0.5741
cty18139,"Rush County, IN",0.574
cty31111,"Lincoln County, NE",0.574
cty17065,"Hamilton County, IL",0.574
cty19007,"Appanoose County, IA",0.5739
cty16053,"Jerome County, ID",0.5739
cty20139,"Osage County, KS",0.5739
cty19115,"Louisa County, IA",0.5738
cty05109,"Pike County, AR",0.5737
cty19129,"Mills County, IA",0.5736
cty20043,"Doniphan County, KS",0.5735
cty18101,"Martin County, IN",0.5734
cty01075,"Lamar County, AL",0.5732
cty55023,"Crawford County, WI",0.573
cty55027,"Dodge County, WI",0.573
cty21035,"Calloway County, KY",0.573
cty17073,"Henry County, IL",0.5729
cty51735,"Poquoson city, VA",0.5729
cty55029,"Door County, WI",0.5727
cty51165,"Rockingham County, VA",0.5726
cty55115,"Shawano County, WI",0.5725
cty26015,"Barry County, MI",0.5725
cty55135,"Waupaca County, WI",0.5725
cty54073,"Pleasants County, WV",0.5722
cty18131,"Pulaski County, IN",0.5721
cty18059,"Hancock County, IN",0.572
cty20091,"Johnson County, KS",0.5718
cty40087,"McClain County, OK",0.5715
cty21115,"Johnson County, KY",0.5715
cty17015,"Carroll County, IL",0.5714
cty20121,"Miami County, KS",0.5713
cty21009,"Barren County, KY",0.5713
cty29171,"Putnam County, MO",0.5713
cty29163,"Pike County, MO",0.5711
cty29197,"Schuyler County, MO",0.5708
cty48065,"Carson County, TX",0.5708
cty31079,"Hall County, NE",0.5707
cty26057,"Gratiot County, MI",0.5707
cty55041,"Forest County, WI",0.5706
cty48447,"Throckmorton County, TX",0.5706
cty56005,"Campbell County, WY",0.5704
cty20093,"Kearny County, KS",0.5704
cty21123,"Larue County, KY",0.5703
cty47127,"Moore County, TN",0.5702
cty48059,"Callahan County, TX",0.5702
cty39083,"Knox County, OH",0.5702
cty08051,"Gunnison County, CO",0.5702
cty42061,"Huntingdon County, PA",0.5701
cty27109,"Olmsted County, MN",0.57
cty36121,"Wyoming County, NY",0.57
cty55009,"Brown County, WI",0.5699
cty08075,"Logan County, CO",0.5699
cty48207,"Haskell County, TX",0.5699
cty27139,"Scott County, MN",0.5698
cty21099,"Hart County, KY",0.5698
cty42005,"Armstrong County, PA",0.5698
cty46129,"Walworth County, SD",0.5695
cty20159,"Rice County, KS",0.5695
cty26119,"Montmorency County, MI",0.5694
cty29105,"Laclede County, MO",0.5693
cty51167,"Russell County, VA",0.5693
cty47159,"Smith County, TN",0.5692
cty29107,"Lafayette County, MO",0.5691
cty27165,"Watonwan County, MN",0.569
cty41063,"Wallowa County, OR",0.569
cty54095,"Tyler County, WV",0.5689
cty21229,"Washington County, KY",0.5689
cty27163,"Washington County, MN",0.5687
cty48483,"Wheeler County, TX",0.5687
cty01009,"Blount County, AL",0.5687
cty20087,"Jefferson County, KS",0.5687
cty18031,"Decatur County, IN",0.5687
cty21201,"Robertson County, KY",0.5687
cty24013,"Carroll County, MD",0.5686
cty26133,"Osceola County, MI",0.5686
cty51091,"Highland County, VA",0.5686
cty55099,"Price County, WI",0.5686
cty21061,"Edmonson County, KY",0.5686
cty20047,"Edwards County, KS",0.5685
cty40039,"Custer County, OK",0.5684
cty42047,"Elk County, PA",0.5684
cty48289,"Leon County, TX",0.5684
cty31071,"Garfield County, NE",0.568
cty40103,"Noble County, OK",0.5679
cty29049,"Clinton County, MO",0.5679
cty30107,"Wheatland County, MT",0.5679
cty42055,"Franklin County, PA",0.5679
cty26111,"Midland County, MI",0.5678
cty21157,"Marshall County, KY",0.5678
cty29051,"Cole County, MO",0.5678
cty46081,"Lawrence County, SD",0.5675
cty20133,"Neosho County, KS",0.5674
cty46027,"Clay County, SD",0.5673
cty18151,"Steuben County, IN",0.5673
cty16085,"Valley County, ID",0.5673
cty29139,"Montgomery County, MO",0.5672
cty46091,"Marshall County, SD",0.567
cty29131,"Miller County, MO",0.567
cty29183,"St. Charles County, MO",0.5669
cty13083,"Dade County, GA",0.5669
cty21135,"Lewis County, KY",0.5669
cty18107,"Montgomery County, IN",0.5669
cty39005,"Ashland County, OH",0.5669
cty17155,"Putnam County, IL",0.5668
cty17001,"Adams County, IL",0.5665
cty05105,"Perry County, AR",0.5665
cty17151,"Pope County, IL",0.5665
cty42041,"Cumberland County, PA",0.5665
cty27061,"Itasca County, MN",0.5662
cty30101,"Toole County, MT",0.5662
cty48413,"Schleicher County, TX",0.5662
cty51185,"Tazewell County, VA",0.5661
cty29071,"Franklin County, MO",0.5659
cty55097,"Portage County, WI",0.5658
cty42075,"Lebanon County, PA",0.5657
cty17123,"Marshall County, IL",0.5657
cty31153,"Sarpy County, NE",0.5655
cty20009,"Barton County, KS",0.5655
cty16057,"Latah County, ID",0.5655
cty53001,"Adams County, WA",0.5655
cty18069,"Huntington County, IN",0.5654
cty54097,"Upshur County, WV",0.5653
cty17109,"McDonough County, IL",0.5653
cty55129,"Washburn County, WI",0.5651
cty48383,"Reagan County, TX",0.5651
cty48077,"Clay County, TX",0.5651
cty17165,"Saline County, IL",0.5651
cty42057,"Fulton County, PA",0.5651
cty46065,"Hughes County, SD",0.565
cty55047,"Green Lake County, WI",0.565
cty27005,"Becker County, MN",0.5649
cty48233,"Hutchinson County, TX",0.5647
cty31105,"Kimball County, NE",0.5646
cty18075,"Jay County, IN",0.5644
cty55063,"La Crosse County, WI",0.5643
cty27059,"Isanti County, MN",0.5641
cty48087,"Collingsworth County, TX",0.5641
cty31109,"Lancaster County, NE",0.564
cty29215,"Texas County, MO",0.564
cty29219,"Warren County, MO",0.564
cty01043,"Cullman County, AL",0.564
cty17053,"Ford County, IL",0.564
cty20101,"Lane County, KS",0.564
cty19103,"Johnson County, IA",0.5638
cty24023,"Garrett County, MD",0.5637
cty30009,"Carbon County, MT",0.5636
cty20073,"Greenwood County, KS",0.5636
cty13311,"White County, GA",0.5636
cty20077,"Harper County, KS",0.5635
cty48259,"Kendall County, TX",0.5634
cty30031,"Gallatin County, MT",0.5633
cty27037,"Dakota County, MN",0.5631
cty40085,"Love County, OK",0.563
cty19033,"Cerro Gordo County, IA",0.5629
cty54077,"Preston County, WV",0.5629
cty56037,"Sweetwater County, WY",0.5628
cty56045,"Weston County, WY",0.5628
cty18083,"Knox County, IN",0.5628
cty26109,"Menominee County, MI",0.5626
cty46033,"Custer County, SD",0.5626
cty53037,"Kittitas County, WA",0.5626
cty05063,"Independence County, AR",0.5625
cty54087,"Roane County, WV",0.5624
cty20107,"Linn County, KS",0.5624
cty21085,"Grayson County, KY",0.5623
cty18061,"Harrison County, IN",0.5622
cty27035,"Crow Wing County, MN",0.5622
cty29065,"Dent County, MO",0.5622
cty05053,"Grant County, AR",0.5621
cty39109,"Miami County, OH",0.5621
cty17179,"Tazewell County, IL",0.5621
cty27025,"Chisago County, MN",0.562
cty42027,"Centre County, PA",0.562
cty05023,"Cleburne County, AR",0.5618
cty51141,"Patrick County, VA",0.5617
cty42001,"Adams County, PA",0.5617
cty55139,"Winnebago County, WI",0.5616
cty26157,"Tuscola County, MI",0.5616
cty20189,"Stevens County, KS",0.5616
cty46099,"Minnehaha County, SD",0.5615
cty19127,"Marshall County, IA",0.5615
cty31047,"Dawson County, NE",0.5609
cty05121,"Randolph County, AR",0.5608
cty53051,"Pend Oreille County, WA",0.5607
cty26151,"Sanilac County, MI",0.5607
cty54105,"Wirt County, WV",0.5606
cty47111,"Macon County, TN",0.5605
cty42039,"Crawford County, PA",0.5605
cty37199,"Yancey County, NC",0.5604
cty27131,"Rice County, MN",0.5603
cty21217,"Taylor County, KY",0.5603
cty48337,"Montague County, TX",0.5603
cty29153,"Ozark County, MO",0.5602
cty18081,"Johnson County, IN",0.5601
cty39165,"Warren County, OH",0.56
cty17063,"Grundy County, IL",0.56
cty19111,"Lee County, IA",0.5599
cty17059,"Gallatin County, IL",0.5598
cty19187,"Webster County, IA",0.5598
cty21153,"Magoffin County, KY",0.5598
cty18099,"Marshall County, IN",0.5598
cty29125,"Maries County, MO",0.5596
cty18169,"Wabash County, IN",0.5596
cty27013,"Blue Earth County, MN",0.5596
cty28141,"Tishomingo County, MS",0.5595
cty21027,"Breckinridge County, KY",0.5594
cty39159,"Union County, OH",0.5594
cty18133,"Putnam County, IN",0.5593
cty48149,"Fayette County, TX",0.5593
cty42129,"Westmoreland County, PA",0.5592
cty40147,"Washington County, OK",0.5591
cty19133,"Monona County, IA",0.5591
cty54035,"Jackson County, WV",0.559
cty21053,"Clinton County, KY",0.559
cty13219,"Oconee County, GA",0.5589
cty29079,"Grundy County, MO",0.5588
cty42099,"Perry County, PA",0.5588
cty08035,"Douglas County, CO",0.5587
cty08119,"Teller County, CO",0.5587
cty54007,"Braxton County, WV",0.5587
cty21059,"Daviess County, KY",0.5587
cty53065,"Stevens County, WA",0.5585
cty39173,"Wood County, OH",0.5585
cty18135,"Randolph County, IN",0.5585
cty17075,"Iroquois County, IL",0.5583
cty08081,"Moffat County, CO",0.5582
cty55111,"Sauk County, WI",0.558
cty55095,"Polk County, WI",0.558
cty42113,"Sullivan County, PA",0.558
cty55075,"Marinette County, WI",0.558
cty17093,"Kendall County, IL",0.558
cty51161,"Roanoke County, VA",0.5579
cty29141,"Morgan County, MO",0.5579
cty18157,"Tippecanoe County, IN",0.5579
cty40077,"Latimer County, OK",0.5578
cty41061,"Union County, OR",0.5578
cty48501,"Yoakum County, TX",0.5577
cty18055,"Greene County, IN",0.5577
cty40069,"Johnston County, OK",0.5576
cty46019,"Butte County, SD",0.5576
cty29207,"Stoddard County, MO",0.5575
cty40119,"Payne County, OK",0.5572
cty48103,"Crane County, TX",0.5572
cty51063,"Floyd County, VA",0.5572
cty13113,"Fayette County, GA",0.5568
cty20205,"Wilson County, KS",0.5568
cty42093,"Montour County, PA",0.5567
cty16039,"Elmore County, ID",0.5566
cty37075,"Graham County, NC",0.5565
cty55055,"Jefferson County, WI",0.5564
cty18165,"Vermillion County, IN",0.5564
cty13117,"Forsyth County, GA",0.5563
cty51035,"Carroll County, VA",0.5563
cty19071,"Fremont County, IA",0.556
cty29013,"Bates County, MO",0.556
cty21083,"Graves County, KY",0.556
cty26093,"Livingston County, MI",0.5559
cty42033,"Clearfield County, PA",0.5558
cty13291,"Union County, GA",0.5558
cty54017,"Doddridge County, WV",0.5557
cty17103,"Lee County, IL",0.5557
cty17111,"McHenry County, IL",0.5556
cty48125,"Dickens County, TX",0.5555
cty01071,"Jackson County, AL",0.5554
cty20191,"Sumner County, KS",0.5553
cty06049,"Modoc County, CA",0.5553
cty19045,"Clinton County, IA",0.5553
cty29209,"Stone County, MO",0.5553
cty39171,"Williams County, OH",0.5553
cty31157,"Scotts Bluff County, NE",0.5552
cty16001,"Ada County, ID",0.5552
cty51023,"Botetourt County, VA",0.5552
cty29129,"Mercer County, MO",0.5552
cty29211,"Sullivan County, MO",0.5551
cty01059,"Franklin County, AL",0.555
cty39117,"Morrow County, OH",0.555
cty21031,"Butler County, KY",0.555
cty16009,"Benewah County, ID",0.5549
cty40131,"Rogers County, OK",0.5549
cty18117,"Orange County, IN",0.5548
cty19113,"Linn County, IA",0.5547
cty29109,"Lawrence County, MO",0.5547
cty17117,"Macoupin County, IL",0.5547
cty30079,"Prairie County, MT",0.5546
cty48503,"Young County, TX",0.5545
cty42021,"Cambria County, PA",0.5544
cty39063,"Hancock County, OH",0.5544
cty54101,"Webster County, WV",0.5541
cty17043,"DuPage County, IL",0.554
cty48237,"Jack County, TX",0.5539
cty56033,"Sheridan County, WY",0.5538
cty26087,"Lapeer County, MI",0.5536
cty26011,"Arenac County, MI",0.5536
cty37009,"Ashe County, NC",0.5536
cty37197,"Yadkin County, NC",0.5536
cty29017,"Bollinger County, MO",0.5535
cty54079,"Putnam County, WV",0.5535
cty20005,"Atchison County, KS",0.5534
cty08113,"San Miguel County, CO",0.5534
cty26041,"Delta County, MI",0.5531
cty26059,"Hillsdale County, MI",0.5531
cty40149,"Washita County, OK",0.5531
cty37043,"Clay County, NC",0.5531
cty27065,"Kanabec County, MN",0.553
cty17113,"McLean County, IL",0.553
cty16015,"Boise County, ID",0.5528
cty55081,"Monroe County, WI",0.5527
cty54013,"Calhoun County, WV",0.5526
cty29085,"Hickory County, MO",0.5525
cty17011,"Bureau County, IL",0.5524
cty20037,"Crawford County, KS",0.5523
cty48497,"Wise County, TX",0.5523
cty40009,"Beckham County, OK",0.5522
cty47083,"Houston County, TN",0.5521
cty39031,"Coshocton County, OH",0.5521
cty39019,"Carroll County, OH",0.552
cty48171,"Gillespie County, TX",0.552
cty39103,"Medina County, OH",0.552
cty27095,"Mille Lacs County, MN",0.5518
cty54001,"Barbour County, WV",0.5518
cty30089,"Sanders County, MT",0.5518
cty39045,"Fairfield County, OH",0.5518
cty20021,"Cherokee County, KS",0.5515
cty42015,"Bradford County, PA",0.5515
cty19139,"Muscatine County, IA",0.5515
cty32027,"Pershing County, NV",0.5513
cty29101,"Johnson County, MO",0.5513
cty40017,"Canadian County, OK",0.5512
cty41049,"Morrow County, OR",0.5512
cty40137,"Stephens County, OK",0.5511
cty05113,"Polk County, AR",0.5509
cty39067,"Harrison County, OH",0.5508
cty39013,"Belmont County, OH",0.5508
cty21225,"Union County, KY",0.5508
cty29059,"Dallas County, MO",0.5508
cty42123,"Warren County, PA",0.5508
cty17141,"Ogle County, IL",0.5508
cty51085,"Hanover County, VA",0.5507
cty01093,"Marion County, AL",0.5506
cty01029,"Cleburne County, AL",0.5503
cty21063,"Elliott County, KY",0.5501
cty20155,"Reno County, KS",0.55
cty42125,"Washington County, PA",0.5499
cty29009,"Barry County, MO",0.5499
cty27099,"Mower County, MN",0.5498
cty47007,"Bledsoe County, TN",0.5497
cty20059,"Franklin County, KS",0.5496
cty55125,"Vilas County, WI",0.5495
cty26043,"Dickinson County, MI",0.5494
cty29073,"Gasconade County, MO",0.5493
cty29165,"Platte County, MO",0.5492
cty26073,"Isabella County, MI",0.5491
cty39167,"Washington County, OH",0.5491
cty37193,"Wilkes County, NC",0.5491
cty27007,"Beltrami County, MN",0.5489
cty51169,"Scott County, VA",0.5489
cty29033,"Carroll County, MO",0.5489
cty51045,"Craig County, VA",0.5488
cty26123,"Newaygo County, MI",0.5488
cty26127,"Oceana County, MI",0.5488
cty19101,"Jefferson County, IA",0.5487
cty08033,"Dolores County, CO",0.5486
cty48193,"Hamilton County, TX",0.5485
cty42131,"Wyoming County, PA",0.5484
cty29149,"Oregon County, MO",0.5484
cty21219,"Todd County, KY",0.5484
cty48319,"Mason County, TX",0.5483
cty30027,"Fergus County, MT",0.5482
cty30081,"Ravalli County, MT",0.5482
cty16017,"Bonner County, ID",0.5482
cty51195,"Wise County, VA",0.5481
cty30029,"Flathead County, MT",0.5479
cty30091,"Sheridan County, MT",0.5479
cty21001,"Adair County, KY",0.5479
cty01049,"DeKalb County, AL",0.5477
cty49019,"Grand County, UT",0.5477
cty55035,"Eau Claire County, WI",0.5476
cty08015,"Chaffee County, CO",0.5476
cty27057,"Hubbard County, MN",0.5473
cty55021,"Columbia County, WI",0.5473
cty26103,"Marquette County, MI",0.5472
cty51197,"Wythe County, VA",0.5472
cty51031,"Campbell County, VA",0.5472
cty47099,"Lawrence County, TN",0.5472
cty39065,"Hardin County, OH",0.5472
cty54023,"Grant County, WV",0.5471
cty17129,"Menard County, IL",0.547
cty26007,"Alpena County, MI",0.5468
cty55053,"Jackson County, WI",0.5467
cty39115,"Morgan County, OH",0.5467
cty36037,"Genesee County, NY",0.5466
cty42059,"Greene County, PA",0.5466
cty34019,"Hunterdon County, NJ",0.5464
cty19013,"Black Hawk County, IA",0.5464
cty54031,"Hardy County, WV",0.5462
cty48003,"Andrews County, TX",0.5462
cty05047,"Franklin County, AR",0.5461
cty29037,"Cass County, MO",0.546
cty36123,"Yates County, NY",0.546
cty21155,"Marion County, KY",0.546
cty21107,"Hopkins County, KY",0.5459
cty39135,"Preble County, OH",0.5458
cty37059,"Davie County, NC",0.5457
cty08117,"Summit County, CO",0.5457
cty21195,"Pike County, KY",0.5456
cty30053,"Lincoln County, MT",0.5455
cty29177,"Ray County, MO",0.5455
cty48119,"Delta County, TX",0.5454
cty05117,"Prairie County, AR",0.5453
cty17055,"Franklin County, IL",0.5453
cty30093,"Silver Bow County, MT",0.5451
cty20111,"Lyon County, KS",0.5451
cty08069,"Larimer County, CO",0.545
cty08014,"Broomfield County, CO",0.545
cty35028,"Los Alamos County, NM",0.545
cty21141,"Logan County, KY",0.5449
cty21057,"Cumberland County, KY",0.5449
cty55057,"Juneau County, WI",0.5448
cty18071,"Jackson County, IN",0.5448
cty42083,"McKean County, PA",0.5447
cty27077,"Lake of the Woods County, MN",0.5447
cty48475,"Ward County, TX",0.5447
cty56013,"Fremont County, WY",0.5446
cty18103,"Miami County, IN",0.5446
cty17037,"DeKalb County, IL",0.5446
cty17045,"Edgar County, IL",0.5446
cty48367,"Parker County, TX",0.5445
cty17029,"Coles County, IL",0.5445
cty05055,"Greene County, AR",0.5443
cty21003,"Allen County, KY",0.5442
cty18109,"Morgan County, IN",0.5442
cty21033,"Caldwell County, KY",0.5441
cty26009,"Antrim County, MI",0.5441
cty51077,"Grayson County, VA",0.544
cty38071,"Ramsey County, ND",0.5439
cty46069,"Hyde County, SD",0.5439
cty29031,"Cape Girardeau County, MO",0.5438
cty05045,"Faulkner County, AR",0.5437
cty39123,"Ottawa County, OH",0.5437
cty29227,"Worth County, MO",0.5437
cty51015,"Augusta County, VA",0.5437
cty01027,"Clay County, AL",0.5435
cty18127,"Porter County, IN",0.5432
cty56043,"Washakie County, WY",0.5432
cty37169,"Stokes County, NC",0.5432
cty34027,"Morris County, NJ",0.5431
cty46109,"Roberts County, SD",0.543
cty53017,"Douglas County, WA",0.543
cty42115,"Susquehanna County, PA",0.543
cty26137,"Otsego County, MI",0.5429
cty26107,"Mecosta County, MI",0.5429
cty48397,"Rockwall County, TX",0.5427
cty21007,"Ballard County, KY",0.5427
cty21015,"Boone County, KY",0.5427
cty05005,"Baxter County, AR",0.5426
cty47189,"Wilson County, TN",0.5425
cty40097,"Mayes County, OK",0.5424
cty29083,"Henry County, MO",0.5424
cty17107,"Logan County, IL",0.5424
cty42121,"Venango County, PA",0.5424
cty05007,"Benton County, AR",0.5423
cty30017,"Custer County, MT",0.5423
cty17021,"Christian County, IL",0.5423
cty39077,"Huron County, OH",0.5422
cty47027,"Clay County, TN",0.5422
cty48235,"Irion County, TX",0.5421
cty20099,"Labette County, KS",0.542
cty20161,"Riley County, KS",0.542
cty48335,"Mitchell County, TX",0.542
cty40081,"Lincoln County, OK",0.5419
cty53005,"Benton County, WA",0.5419
cty39091,"Logan County, OH",0.5417
cty18005,"Bartholomew County, IN",0.5417
cty27115,"Pine County, MN",0.5416
cty54085,"Ritchie County, WV",0.5416
cty17137,"Morgan County, IL",0.5415
cty01133,"Winston County, AL",0.5415
cty13101,"Echols County, GA",0.5415
cty18023,"Clinton County, IN",0.5415
cty29127,"Marion County, MO",0.5414
cty40011,"Blaine County, OK",0.5413
cty13073,"Columbia County, GA",0.5412
cty17199,"Williamson County, IL",0.5411
cty47161,"Stewart County, TN",0.5411
cty19057,"Des Moines County, IA",0.5408
cty05025,"Cleveland County, AR",0.5408
cty05065,"Izard County, AR",0.5407
cty29213,"Taney County, MO",0.5406
cty48095,"Concho County, TX",0.5404
cty51570,"Colonial Heights city, VA",0.5404
cty26047,"Emmet County, MI",0.5403
cty42035,"Clinton County, PA",0.5403
cty42029,"Chester County, PA",0.5402
cty37113,"Macon County, NC",0.5402
cty41025,"Harney County, OR",0.5402
cty48179,"Gray County, TX",0.5402
cty47085,"Humphreys County, TN",0.5402
cty32033,"White Pine County, NV",0.5399
cty48035,"Bosque County, TX",0.5399
cty47031,"Coffee County, TN",0.5398
cty21203,"Rockcastle County, KY",0.5395
cty51021,"Bland County, VA",0.5395
cty26045,"Eaton County, MI",0.5394
cty05097,"Montgomery County, AR",0.5394
cty29123,"Madison County, MO",0.5394
cty01077,"Lauderdale County, AL",0.5394
cty29053,"Cooper County, MO",0.5394
cty16027,"Canyon County, ID",0.5392
cty40153,"Woodward County, OK",0.5392
cty26117,"Montcalm County, MI",0.5392
cty18029,"Dearborn County, IN",0.5392
cty51019,"Bedford County, VA",0.5391
cty37115,"Madison County, NC",0.539
cty08091,"Ouray County, CO",0.539
cty48143,"Erath County, TX",0.5389
cty54021,"Gilmer County, WV",0.5389
cty42085,"Mercer County, PA",0.5389
cty39021,"Champaign County, OH",0.5389
cty53039,"Klickitat County, WA",0.5388
cty21181,"Nicholas County, KY",0.5387
cty21133,"Letcher County, KY",0.5387
cty48133,"Eastland County, TX",0.5387
cty27003,"Anoka County, MN",0.5386
cty28057,"Itawamba County, MS",0.5386
cty21159,"Martin County, KY",0.5384
cty26071,"Iron County, MI",0.5384
cty13111,"Fannin County, GA",0.5384
cty19179,"Wapello County, IA",0.5381
cty13137,"Habersham County, GA",0.538
cty18039,"Elkhart County, IN",0.5379
cty41003,"Benton County, OR",0.5379
cty27031,"Cook County, MN",0.5379
cty40117,"Pawnee County, OK",0.5378
cty42133,"York County, PA",0.5378
cty34037,"Sussex County, NJ",0.5378
cty21045,"Casey County, KY",0.5378
cty16055,"Kootenai County, ID",0.5376
cty39033,"Crawford County, OH",0.5376
cty30111,"Yellowstone County, MT",0.5375
cty56025,"Natrona County, WY",0.5374
cty55067,"Langlade County, WI",0.5374
cty32015,"Lander County, NV",0.5373
cty29161,"Phelps County, MO",0.5373
cty21089,"Greenup County, KY",0.5373
cty13057,"Cherokee County, GA",0.5372
cty20035,"Cowley County, KS",0.5371
cty26053,"Gogebic County, MI",0.5371
cty30105,"Valley County, MT",0.5371
cty37171,"Surry County, NC",0.537
cty26055,"Grand Traverse County, MI",0.5368
cty26091,"Lenawee County, MI",0.5367
cty29015,"Benton County, MO",0.5367
cty53013,"Columbia County, WA",0.5367
cty55085,"Oneida County, WI",0.5367
cty26089,"Leelanau County, MI",0.5366
cty39147,"Seneca County, OH",0.5365
cty05083,"Logan County, AR",0.5364
cty48155,"Foard County, TX",0.5362
cty30013,"Cascade County, MT",0.536
cty26051,"Gladwin County, MI",0.536
cty40051,"Grady County, OK",0.5359
cty54107,"Wood County, WV",0.5359
cty27075,"Lake County, MN",0.5359
cty54051,"Marshall County, WV",0.5357
cty41037,"Lake County, OR",0.5357
cty54043,"Lincoln County, WV",0.5356
cty47023,"Chester County, TN",0.5356
cty06017,"El Dorado County, CA",0.5355
cty05021,"Clay County, AR",0.5355
cty48085,"Collin County, TX",0.5354
cty30037,"Golden Valley County, MT",0.5354
cty51121,"Montgomery County, VA",0.5353
cty40027,"Cleveland County, OK",0.5352
cty55127,"Walworth County, WI",0.5352
cty17101,"Lawrence County, IL",0.5352
cty18145,"Shelby County, IN",0.5351
cty54067,"Nicholas County, WV",0.5351
cty55007,"Bayfield County, WI",0.535
cty13011,"Banks County, GA",0.535
cty26149,"St. Joseph County, MI",0.535
cty29119,"McDonald County, MO",0.5348
cty39105,"Meigs County, OH",0.5348
cty39057,"Greene County, OH",0.5348
cty17125,"Mason County, IL",0.5348
cty47141,"Putnam County, TN",0.5348
cty51071,"Giles County, VA",0.5348
cty42073,"Lawrence County, PA",0.5347
cty42017,"Bucks County, PA",0.5346
cty24021,"Frederick County, MD",0.5346
cty39001,"Adams County, OH",0.5346
cty51145,"Powhatan County, VA",0.5345
cty26097,"Mackinac County, MI",0.5343
cty48071,"Chambers County, TX",0.5343
cty23007,"Franklin County, ME",0.5342
cty29029,"Camden County, MO",0.5342
cty40145,"Wagoner County, OK",0.5341
cty41001,"Baker County, OR",0.5337
cty54015,"Clay County, WV",0.5337
cty26155,"Shiawassee County, MI",0.5336
cty42127,"Wayne County, PA",0.5336
cty17195,"Whiteside County, IL",0.5336
cty47183,"Weakley County, TN",0.5335
cty28073,"Lamar County, MS",0.5335
cty51107,"Loudoun County, VA",0.5334
cty29221,"Washington County, MO",0.5334
cty40029,"Coal County, OK",0.5333
cty29099,"Jefferson County, MO",0.5333
cty06043,"Mariposa County, CA",0.5333
cty42037,"Columbia County, PA",0.5333
cty48151,"Fisher County, TX",0.5332
cty19153,"Polk County, IA",0.5331
cty55013,"Burnett County, WI",0.533
cty29077,"Greene County, MO",0.533
cty21121,"Knox County, KY",0.533
cty36009,"Cattaraugus County, NY",0.5329
cty08067,"La Plata County, CO",0.5329
cty47135,"Perry County, TN",0.5327
cty39127,"Perry County, OH",0.5327
cty40139,"Texas County, OK",0.5327
cty21037,"Campbell County, KY",0.5327
cty08107,"Routt County, CO",0.5326
cty29113,"Lincoln County, MO",0.5326
cty05075,"Lawrence County, AR",0.5325
cty08039,"Elbert County, CO",0.5324
cty26017,"Bay County, MI",0.5324
cty16069,"Nez Perce County, ID",0.5323
cty36041,"Hamilton County, NY",0.5323
cty42091,"Montgomery County, PA",0.5322
cty04011,"Greenlee County, AZ",0.5322
cty19193,"Woodbury County, IA",0.5321
cty19163,"Scott County, IA",0.5321
cty05015,"Carroll County, AR",0.532
cty27017,"Carlton County, MN",0.5319
cty17127,"Massac County, IL",0.5319
cty42013,"Blair County, PA",0.5318
cty29097,"Jasper County, MO",0.5317
cty26001,"Alcona County, MI",0.5317
cty48199,"Hardin County, TX",0.5317
cty28039,"George County, MS",0.5317
cty26115,"Monroe County, MI",0.5316
cty17061,"Greene County, IL",0.5316
cty37039,"Cherokee County, NC",0.5315
cty23021,"Piscataquis County, ME",0.5314
cty16003,"Adams County, ID",0.5314
cty30049,"Lewis and Clark County, MT",0.5312
cty08077,"Mesa County, CO",0.5312
cty26101,"Manistee County, MI",0.531
cty54061,"Monongalia County, WV",0.531
cty17145,"Perry County, IL",0.5308
